Sat Nov 23 22:47:16 2024    /Users/haydentedrake/Desktop/UROP2024/pbh_mass/output.prof

         7689405 function calls (7644922 primitive calls) in 21.312 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4632    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
     1296    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:162(__enter__)
    10616    0.002    0.000    0.004    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/__init__.py:694(_get)
     1838    0.002    0.000    0.003    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/cbook.py:2063(_setattr_cm)
      196    0.002    0.000    0.015    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/lines.py:287(__init__)
      577    0.002    0.000    0.235    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
     2217    0.002    0.000    0.002    0.000 {method 'copy' of 'numpy.ndarray' objects}
    11029    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
    11626    0.002    0.000    0.003    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/cbook.py:1903(_str_equal)
     1473    0.002    0.000    0.010    0.000 /opt/anaconda3/lib/python3.12/copy.py:247(_reconstruct)
    13711    0.002    0.000    0.002    0.000 /opt/anaconda3/lib/python3.12/re/_parser.py:240(__next)
     2679    0.002    0.000    0.004    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/cbook.py:405(_strip_comment)
      103    0.002    0.000    0.184    0.002 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/artist.py:159(_update_set_signature_and_docstring)
     1153    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
  765/236    0.002    0.000   11.046    0.047 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      508    0.002    0.000    0.002    0.000 /opt/anaconda3/lib/python3.12/site-packages/pyparsing/core.py:461(__init__)
     8226    0.002    0.000    0.003    0.000 /opt/anaconda3/lib/python3.12/re/_parser.py:176(append)
    23270    0.002    0.000    0.002    0.000 {built-in method builtins.abs}
  704/176    0.002    0.000    0.015    0.000 /opt/anaconda3/lib/python3.12/copy.py:217(_deepcopy_dict)
        1    0.002    0.002    0.009    0.009 /opt/anaconda3/lib/python3.12/site-packages/numpy/core/_ufunc_config.py:1(<module>)
     1750    0.002    0.000    0.002    0.000 {built-in method from_bytes}
  1191/31    0.002    0.000    0.031    0.001 /opt/anaconda3/lib/python3.12/site-packages/pyparsing/core.py:962(_parseCache)
     1296    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:74(__new__)
      609    0.002    0.000    0.002    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/cbook.py:1795(normalize_kwargs)
       67    0.002    0.000    0.002    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/colors.py:1102(reversed)
       35    0.002    0.000    0.013    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/ticker.py:650(format_data_short)
     4573    0.002    0.000    0.002    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/_api/__init__.py:99(check_in_list)
     2131    0.002    0.000    0.002    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/transforms.py:1779(__init__)
    10617    0.002    0.000    0.002    0.000 {function RcParams.__getitem__ at 0x1196c9440}
     2547    0.002    0.000    0.003    0.000 {built-in method builtins.max}
    19383    0.002    0.000    0.002    0.000 {built-in method builtins.id}
  699/695    0.002    0.000   12.687    0.018 <frozen importlib._bootstrap>:806(module_from_spec)
    11985    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
        2    0.002    0.001    0.002    0.001 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/font_manager.py:1499(_get_font)
      429    0.001    0.000    0.003    0.000 /opt/anaconda3/lib/python3.12/typing.py:730(<genexpr>)
        1    0.001    0.001    0.002    0.002 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/backends/backend_agg.py:64(__init__)
    576/7    0.001    0.000   13.774    1.968 <frozen importlib._bootstrap_external>:989(exec_module)
       48    0.001    0.000    0.001    0.000 {built-in method matplotlib._path.point_in_path}
      693    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
  520/239    0.001    0.000    0.027    0.000 /opt/anaconda3/lib/python3.12/re/_parser.py:452(_parse_sub)
2824/2654    0.001    0.000    0.002    0.000 {method 'update' of 'dict' objects}
     5488    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
     1727    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       76    0.001    0.000    0.001    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/scale.py:253(transform_non_affine)
      142    0.001    0.000    0.001    0.000 {built-in method numpy.arange}
     5930    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      693    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
     8079    0.001    0.000    0.001    0.000 /opt/anaconda3/lib/python3.12/enum.py:1129(__new__)
     4922    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
     1296    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
      542    0.001    0.000    0.003    0.000 /opt/anaconda3/lib/python3.12/enum.py:390(__setitem__)
       24    0.001    0.000    0.003    0.000 /opt/anaconda3/lib/python3.12/site-packages/pyparsing/util.py:186(_collapse_string_to_ranges)
  307/285    0.001    0.000    0.004    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/transforms.py:2450(get_affine)
      946    0.001    0.000    0.003    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/transforms.py:1899(__init__)
  666/593    0.001    0.000    0.021    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/transforms.py:1482(transform)
     6163    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     1612    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:645(parent)
